'attr_id1','attr_id2','schema_matching_similarity_score'
480,609,0.56
494,609,0.58
500,609,0.56
480,610,0.54
494,610,0.58
500,610,0.54
93,612,0.52
480,615,0.56
494,615,0.58
500,615,0.56
118,619,0.54
480,619,0.56
500,619,0.56
480,622,0.54
494,622,0.56
500,622,0.54
480,623,0.54
494,623,0.56
500,623,0.54
480,624,0.54
494,624,0.57
500,624,0.54
93,630,0.52
480,630,0.56
494,630,0.56
500,630,0.56
480,634,0.54
494,634,0.58
500,634,0.54
118,636,0.51
480,636,0.56
494,636,0.58
500,636,0.56
480,640,0.56
494,640,0.58
500,640,0.56
93,642,0.51
118,645,0.59
93,648,0.52
480,649,0.56
494,649,0.53
500,649,0.56
93,650,0.55
480,650,0.55
494,650,0.54
500,650,0.55
480,651,0.56
494,651,0.58
500,651,0.56
480,652,0.54
494,652,0.58
500,652,0.54
93,653,0.51
480,654,0.55
494,654,0.59
500,654,0.55
480,656,0.54
494,656,0.56
500,656,0.54
93,657,0.52
480,660,0.56
494,660,0.58
500,660,0.56
93,661,0.52
93,662,0.52
480,665,0.56
494,665,0.53
500,665,0.56
480,666,0.56
494,666,0.57
500,666,0.56
480,670,0.54
494,670,0.58
500,670,0.54
480,671,0.56
494,671,0.56
500,671,0.56
480,675,0.55
494,675,0.58
500,675,0.55
93,677,0.51
480,680,0.54
494,680,0.57
500,680,0.54
118,681,0.54
480,681,0.56
494,681,0.58
500,681,0.56
93,683,0.51
118,686,0.61
118,690,0.56
480,690,0.54
494,690,0.55
500,690,0.54
93,692,0.51
480,694,0.55
494,694,0.54
500,694,0.55
480,695,0.56
494,695,0.57
500,695,0.56
480,697,0.54
494,697,0.56
500,697,0.54
93,700,0.52
480,700,0.55
494,700,0.58
500,700,0.55
93,701,0.52
480,701,0.54
494,701,0.56
500,701,0.54
480,705,0.54
494,705,0.58
500,705,0.54
93,709,0.51
480,709,0.54
494,709,0.57
500,709,0.54
118,710,0.56
93,712,0.51
480,712,0.54
494,712,0.55
500,712,0.54
336,713,0.52
413,713,0.52
478,713,0.52
498,713,0.52
336,715,0.52
413,715,0.52
478,715,0.52
480,715,0.55
494,715,0.56
498,715,0.52
500,715,0.55
93,716,0.51
336,716,0.52
413,716,0.52
478,716,0.52
492,716,0.52
498,716,0.52
93,718,0.51
93,719,0.51
494,720,0.56
93,721,0.51
93,723,0.52
480,724,0.54
494,724,0.59
500,724,0.54
480,734,0.56
494,734,0.59
500,734,0.56
93,739,0.53
492,739,0.51
93,740,0.54
110,740,0.58
480,740,0.57
492,740,0.63
494,740,0.54
500,740,0.57
93,741,0.55
492,741,0.64
93,742,0.56
492,742,0.51
93,743,0.54
492,743,0.51
93,744,0.56
93,745,0.56
492,745,0.51
93,746,0.57
492,746,0.72
93,747,0.55
492,747,0.63
93,748,0.55
480,748,0.58
492,748,0.61
494,748,0.55
500,748,0.58
93,749,0.55
93,750,0.51
505,750,0.51
93,751,0.56
336,752,0.84
413,752,0.84
478,752,0.84
498,752,0.84
336,800,0.84
413,800,0.84
478,800,0.84
498,800,0.84
515,800,0.54
516,800,0.52
522,800,0.52
110,802,0.52
515,802,0.66
516,802,0.68
519,802,0.52
520,802,0.52
521,802,0.56
522,802,0.54
523,802,0.67
492,803,0.59
505,803,0.52
512,803,0.62
513,803,0.73
514,803,0.76
515,803,0.58
516,803,0.63
517,803,0.66
518,803,0.62
519,803,0.68
520,803,0.66
521,803,0.66
522,803,0.61
528,803,0.71
529,803,0.67
530,803,0.74
531,803,0.66
715,803,0.7
716,803,0.68
717,803,0.74
718,803,0.73
719,803,0.73
720,803,0.63
333,804,0.81
334,804,0.82
103,805,0.87
105,805,0.67
107,805,0.69
108,805,0.62
492,805,0.69
507,805,0.53
100,806,0.56
103,806,0.74
105,806,0.88
108,806,0.87
486,806,0.59
506,806,0.59
101,807,0.53
512,807,0.57
586,807,0.62
587,807,0.63
588,807,0.65
589,807,0.62
590,807,0.62
591,807,0.61
592,807,0.68
593,807,0.72
594,807,0.73
595,807,0.73
596,807,0.68
597,807,0.61
598,807,0.62
599,807,0.69
600,807,0.68
736,807,0.63
737,807,0.65
738,807,0.63
739,807,0.66
742,807,0.65
743,807,0.65
744,807,0.62
745,807,0.66
748,807,0.53
749,807,0.67
750,807,0.64
751,807,0.61
492,808,0.79
502,808,0.59
514,808,0.56
515,808,0.67
516,808,0.61
517,808,0.58
518,808,0.52
603,808,0.72
734,808,0.52
735,808,0.52
740,808,0.74
741,808,0.72
746,808,0.71
747,808,0.69
748,808,0.67
103,809,0.58
104,809,0.82
107,809,0.88
492,809,0.66
100,810,0.65
492,810,0.55
494,811,0.65
493,812,0.52
100,814,0.67
102,814,0.83
106,814,0.6
108,814,0.59
116,814,0.61
806,814,0.52
494,815,0.53
573,815,0.52
102,818,0.56
103,818,0.64
105,818,0.73
108,818,0.88
486,818,0.52
506,818,0.52
806,818,0.65
100,820,0.67
102,820,0.88
106,820,0.6
108,820,0.57
116,820,0.61
492,822,0.51
113,823,0.57
492,823,0.52
513,823,0.55
514,823,0.51
691,823,0.54
706,823,0.56
803,823,0.66
493,824,0.54
494,824,0.66
708,824,0.52
746,824,0.52
747,824,0.52
749,824,0.52
514,825,0.52
725,825,0.52
735,825,0.51
492,831,0.61
513,831,0.54
514,831,0.6
519,831,0.51
521,831,0.51
555,831,0.61
558,831,0.58
561,831,0.63
562,831,0.53
735,831,0.63
803,831,0.61
807,831,0.54
808,831,0.66
93,832,0.51
118,832,0.62
512,832,0.57
513,832,0.53
514,832,0.55
516,832,0.55
517,832,0.63
572,832,0.51
576,832,0.57
803,832,0.55
807,832,0.64
102,833,0.79
106,833,0.8
806,833,0.52
100,834,0.7
102,834,0.77
810,834,0.54
814,834,0.59
820,834,0.58
487,835,0.51
507,835,0.51
802,835,0.63
805,835,0.68
808,835,0.63
809,835,0.73
486,840,0.53
506,840,0.53
548,840,0.56
549,840,0.55
808,840,0.56
109,841,0.54
113,841,0.58
505,841,0.65
514,841,0.55
559,841,0.57
560,841,0.56
563,841,0.56
564,841,0.56
567,841,0.56
749,841,0.52
110,842,0.58
505,842,0.57
516,842,0.53
522,842,0.53
505,845,0.63
514,845,0.54
622,845,0.55
625,845,0.56
808,845,0.57
486,846,0.56
506,846,0.56
110,847,0.58
747,847,0.55
802,847,0.54
100,848,0.58
492,848,0.52
504,848,0.73
506,848,0.54
110,850,0.57
518,850,0.55
519,850,0.54
520,850,0.56
521,850,0.55
110,851,0.61
802,851,0.52
808,851,0.57
100,854,0.58
486,854,0.54
486,856,0.59
490,856,0.56
492,856,0.52
504,856,0.6
506,856,0.59
100,857,0.79
102,857,0.73
103,857,0.71
105,857,0.76
106,857,0.78
108,857,0.77
806,857,0.53
810,857,0.6
103,860,0.51
104,860,0.64
107,860,0.64
809,860,0.54
100,861,0.64
102,861,0.73
103,861,0.71
105,861,0.77
106,861,0.76
805,861,0.52
806,861,0.52
810,861,0.6
818,861,0.67
833,861,0.61
820,862,0.55
826,862,0.6
833,862,0.67
493,863,0.57
535,863,0.52
811,863,0.57
104,886,0.57
107,886,0.57
809,886,0.51
860,886,0.59
811,893,0.54
812,893,0.6
827,893,0.52
828,893,0.55
104,894,0.57
107,894,0.57
809,894,0.51
812,894,0.66
860,894,0.55
333,900,0.67
334,900,0.51
652,900,0.53
833,901,0.67
104,918,0.57
107,918,0.57
809,918,0.51
860,918,0.54
494,919,0.53
336,926,0.87
413,926,0.87
478,926,0.87
498,926,0.87
800,926,0.87
802,926,0.53
808,926,0.57
813,926,0.52
815,926,0.51
100,927,0.54
108,927,0.78
486,927,0.64
806,927,0.63
810,927,0.54
834,927,0.53
848,927,0.52
854,927,0.55
857,927,0.61
843,931,0.73
334,932,0.54
804,932,0.56
100,935,0.72
102,935,0.81
106,935,0.81
834,935,0.52
835,935,0.51
854,935,0.51
857,935,0.7
861,935,0.75
100,936,0.82
102,936,0.9
105,936,0.54
106,936,0.66
108,936,0.63
492,936,0.53
806,936,0.67
834,936,0.71
848,936,0.56
854,936,0.51
857,936,0.72
861,936,0.69
100,938,0.8
806,938,0.61
810,938,0.7
814,938,0.66
820,938,0.69
834,938,0.65
109,939,0.6
512,939,0.66
513,939,0.58
631,939,0.63
632,939,0.61
634,939,0.52
636,939,0.56
642,939,0.56
643,939,0.64
644,939,0.55
646,939,0.59
647,939,0.6
649,939,0.51
807,939,0.63
843,939,0.58
100,942,0.82
102,942,0.9
106,942,0.68
108,942,0.6
116,942,0.61
492,942,0.53
806,942,0.61
834,942,0.72
854,942,0.51
857,942,0.68
861,942,0.71
815,953,0.63
863,953,0.54
939,953,0.56
336,970,0.75
413,970,0.75
478,970,0.75
498,970,0.75
515,970,0.54
516,970,0.51
800,970,0.75
813,970,0.53
815,970,0.51
926,970,0.83
483,971,0.53
488,971,0.72
489,971,0.73
490,971,0.7
492,971,0.66
502,971,0.73
503,971,0.53
504,971,0.79
508,971,0.72
509,971,0.73
102,972,0.62
103,972,0.62
488,972,0.64
489,972,0.76
490,972,0.76
502,972,0.78
504,972,0.69
508,972,0.64
509,972,0.76
510,972,0.76
100,973,0.56
102,973,0.91
105,973,0.68
106,973,0.92
935,973,0.89
936,973,0.57
938,973,0.8
942,973,0.72
104,974,0.62
107,974,0.59
108,974,0.51
480,974,0.53
483,974,0.53
489,974,0.53
492,974,0.52
500,974,0.53
503,974,0.53
504,974,0.59
509,974,0.53
803,974,0.57
102,975,0.83
105,975,0.68
106,975,0.91
108,975,0.67
935,975,0.55
938,975,0.55
101,976,0.61
109,976,0.68
112,976,0.59
483,976,0.63
503,976,0.63
939,976,0.78
111,977,0.57
113,977,0.58
487,977,0.51
502,977,0.78
504,977,0.71
507,977,0.51
483,978,0.54
503,978,0.54
616,978,0.52
109,979,0.67
480,979,0.66
483,979,0.58
500,979,0.66
503,979,0.58
505,979,0.67
862,982,0.76
863,983,0.59
870,983,0.55
976,983,0.51
939,984,0.54
953,984,0.72
976,984,0.55
336,999,0.53
413,999,0.53
478,999,0.53
498,999,0.53
800,999,0.53
100,1060,0.9
102,1060,0.95
103,1060,0.51
105,1060,0.68
106,1060,0.92
806,1060,0.56
814,1060,0.76
834,1060,0.65
857,1060,0.83
935,1060,0.92
936,1060,0.87
938,1060,0.93
942,1060,0.92
973,1060,0.87
975,1060,0.91
100,1074,0.77
486,1074,0.67
506,1074,0.67
805,1074,0.53
806,1074,0.68
810,1074,0.53
818,1074,0.65
834,1074,0.6
927,1074,0.65
935,1074,0.68
936,1074,0.7
938,1074,0.6
942,1074,0.67
1060,1074,0.74
100,1132,0.68
102,1132,0.67
105,1132,0.55
106,1132,0.53
108,1132,0.62
806,1132,0.63
834,1132,0.59
857,1132,0.7
936,1132,0.68
942,1132,0.66
1060,1132,0.69
1074,1132,0.51
103,1134,0.92
104,1134,0.91
105,1134,0.68
107,1134,0.94
108,1134,0.57
115,1134,0.61
117,1134,0.81
504,1134,0.52
507,1134,0.74
835,1134,0.9
972,1134,0.55
975,1134,0.52
102,1135,0.61
834,1135,0.79
973,1135,0.76
975,1135,0.75
1060,1135,0.76
103,1136,0.79
105,1136,0.68
107,1136,0.67
108,1136,0.68
486,1136,0.64
487,1136,0.85
805,1136,0.88
806,1136,0.64
809,1136,0.69
835,1136,0.82
857,1136,0.54
861,1136,0.71
971,1136,0.71
972,1136,0.62
1060,1136,0.52
1074,1136,0.82
102,1137,0.53
103,1137,0.56
105,1137,0.6
106,1137,0.69
108,1137,0.7
486,1137,0.66
506,1137,0.66
507,1137,0.51
834,1137,0.78
927,1137,0.76
972,1137,0.64
1060,1137,0.64
1074,1137,0.54
1132,1137,0.64
486,1138,0.57
506,1138,0.57
814,1138,0.75
820,1138,0.62
834,1138,0.96
936,1138,0.74
942,1138,0.58
972,1138,0.58
973,1138,0.52
975,1138,0.51
1060,1138,0.64
1132,1138,0.77
102,1139,0.51
103,1139,0.71
105,1139,0.7
108,1139,0.57
486,1139,0.84
805,1139,0.63
806,1139,0.67
834,1139,0.58
856,1139,0.52
927,1139,0.55
971,1139,0.57
1074,1139,0.8
103,1140,0.71
105,1140,0.59
108,1140,0.59
486,1140,0.69
487,1140,0.97
506,1140,0.69
507,1140,0.97
805,1140,0.74
835,1140,0.53
971,1140,0.56
1074,1140,0.63
100,1141,0.83
102,1141,0.71
490,1141,0.52
814,1141,0.77
820,1141,0.75
834,1141,0.83
936,1141,0.77
938,1141,0.58
942,1141,0.74
972,1141,0.57
973,1141,0.56
975,1141,0.52
1060,1141,0.64
1132,1141,0.68
102,1142,0.51
103,1142,0.69
105,1142,0.68
108,1142,0.57
116,1142,0.57
117,1142,0.7
506,1142,0.93
507,1142,0.95
805,1142,0.64
927,1142,0.67
971,1142,0.55
1074,1142,0.81
102,1143,0.54
103,1143,0.56
105,1143,0.56
106,1143,0.69
108,1143,0.69
486,1143,0.76
487,1143,0.65
490,1143,0.62
504,1143,0.54
506,1143,0.76
507,1143,0.65
834,1143,0.54
927,1143,0.87
971,1143,0.52
972,1143,0.62
1060,1143,0.64
1074,1143,0.57
1132,1143,0.62
103,1144,0.68
105,1144,0.56
486,1144,0.78
487,1144,0.97
488,1144,0.61
490,1144,0.64
805,1144,0.73
809,1144,0.6
835,1144,0.77
103,1145,0.68
105,1145,0.56
107,1145,0.66
117,1145,0.54
506,1145,0.78
507,1145,0.95
508,1145,0.66
835,1145,0.78
100,1151,0.93
102,1151,0.81
105,1151,0.69
106,1151,0.79
814,1151,0.81
834,1151,0.74
857,1151,0.73
861,1151,0.74
935,1151,0.8
936,1151,0.88
938,1151,0.89
942,1151,0.89
972,1151,0.58
973,1151,0.9
975,1151,0.84
1060,1151,0.96
1074,1151,0.65
1132,1151,0.66
102,1152,0.72
103,1152,0.98
104,1152,0.57
105,1152,0.98
106,1152,0.65
107,1152,0.6
108,1152,0.86
115,1152,0.53
486,1152,0.83
487,1152,0.82
488,1152,0.64
805,1152,0.82
806,1152,0.82
835,1152,0.54
857,1152,0.65
971,1152,0.67
972,1152,0.64
973,1152,0.61
975,1152,0.51
1060,1152,0.76
1074,1152,0.93
100,1153,0.71
102,1153,0.83
834,1153,0.7
848,1153,0.51
927,1153,0.77
935,1153,0.66
936,1153,0.71
938,1153,0.71
942,1153,0.71
1060,1153,0.76
1074,1153,0.58
1132,1153,0.53
1135,1153,0.51
1138,1153,0.75
1141,1153,0.81
1143,1153,0.74
1151,1153,0.83
100,1154,0.63
106,1154,0.75
810,1154,0.54
834,1154,0.63
854,1154,0.56
857,1154,0.65
927,1154,0.64
935,1154,0.66
936,1154,0.6
938,1154,0.7
942,1154,0.6
1060,1154,0.76
1074,1154,0.61
1135,1154,0.78
1141,1154,0.74
1151,1154,0.52
100,1155,0.71
102,1155,0.69
486,1155,0.56
506,1155,0.56
810,1155,0.53
814,1155,0.58
834,1155,0.7
927,1155,0.69
935,1155,0.54
936,1155,0.71
1060,1155,0.62
1074,1155,0.59
1132,1155,0.58
1137,1155,0.77
1138,1155,0.83
1141,1155,0.83
100,1156,0.71
102,1156,0.79
506,1156,0.56
834,1156,0.7
848,1156,0.58
927,1156,0.69
935,1156,0.53
936,1156,0.71
938,1156,0.66
942,1156,0.71
1060,1156,0.71
1074,1156,0.6
1132,1156,0.58
1137,1156,0.59
1138,1156,0.83
1141,1156,0.84
1142,1156,0.51
1143,1156,0.7
1151,1156,0.76
100,1157,0.63
106,1157,0.82
486,1157,0.54
810,1157,0.54
834,1157,0.63
854,1157,0.56
857,1157,0.64
927,1157,0.78
935,1157,0.66
936,1157,0.6
938,1157,0.7
942,1157,0.6
1060,1157,0.74
1074,1157,0.61
1135,1157,0.83
1141,1157,0.52
1143,1157,0.75
1151,1157,0.52
100,1158,0.59
486,1158,0.54
506,1158,0.54
810,1158,0.51
834,1158,0.6
927,1158,0.81
935,1158,0.58
936,1158,0.54
1060,1158,0.61
1074,1158,0.55
1132,1158,0.58
1137,1158,0.83
1138,1158,0.83
1141,1158,0.66
100,1159,0.71
102,1159,0.83
506,1159,0.55
834,1159,0.7
848,1159,0.59
927,1159,0.72
935,1159,0.67
936,1159,0.71
938,1159,0.71
942,1159,0.71
1060,1159,0.73
1074,1159,0.59
1132,1159,0.57
1138,1159,0.81
1141,1159,0.83
1142,1159,0.57
1143,1159,0.74
1151,1159,0.82
100,1160,0.71
102,1160,0.82
486,1160,0.56
810,1160,0.55
814,1160,0.58
834,1160,0.7
848,1160,0.59
854,1160,0.57
857,1160,0.59
927,1160,0.7
935,1160,0.56
936,1160,0.71
938,1160,0.68
942,1160,0.71
1060,1160,0.73
1074,1160,0.6
1132,1160,0.58
1137,1160,0.53
1138,1160,0.83
1141,1160,0.84
1142,1160,0.53
1143,1160,0.71
1151,1160,0.76
100,1161,0.63
810,1161,0.54
834,1161,0.63
927,1161,0.63
935,1161,0.7
936,1161,0.6
1060,1161,0.74
1074,1161,0.57
1135,1161,0.63
1141,1161,0.72
100,1162,0.63
106,1162,0.81
506,1162,0.54
834,1162,0.63
927,1162,0.78
935,1162,0.66
936,1162,0.6
938,1162,0.7
942,1162,0.6
1060,1162,0.74
1074,1162,0.62
1135,1162,0.83
1151,1162,0.52
100,1163,0.6
108,1163,0.62
810,1163,0.52
814,1163,0.53
834,1163,0.67
848,1163,0.61
854,1163,0.54
857,1163,0.7
927,1163,0.71
935,1163,0.58
936,1163,0.55
938,1163,0.57
942,1163,0.56
1060,1163,0.61
1074,1163,0.58
1132,1163,0.58
1137,1163,0.83
1138,1163,0.83
1140,1163,0.66
1141,1163,0.79
1142,1163,0.68
1143,1163,0.96
100,1164,0.71
102,1164,0.82
810,1164,0.55
814,1164,0.58
834,1164,0.7
927,1164,0.56
935,1164,0.56
936,1164,0.71
1060,1164,0.73
1074,1164,0.59
1132,1164,0.58
1138,1164,0.83
1141,1164,0.96
100,1165,0.54
106,1165,0.81
834,1165,0.6
857,1165,0.64
927,1165,0.64
935,1165,0.68
936,1165,0.53
938,1165,0.66
942,1165,0.64
1060,1165,0.74
1074,1165,0.62
1135,1165,0.81
1141,1165,0.77
1143,1165,0.55
1151,1165,0.53
100,1166,0.71
102,1166,0.75
810,1166,0.54
814,1166,0.6
834,1166,0.7
848,1166,0.61
854,1166,0.55
857,1166,0.72
927,1166,0.57
935,1166,0.54
936,1166,0.71
938,1166,0.55
942,1166,0.71
1060,1166,0.64
1074,1166,0.59
1132,1166,0.58
1137,1166,0.65
1138,1166,0.83
1141,1166,0.96
1142,1166,0.51
1143,1166,0.77
1151,1166,0.65
100,1167,0.71
102,1167,0.83
810,1167,0.52
814,1167,0.58
834,1167,0.7
927,1167,0.57
935,1167,0.56
936,1167,0.71
1060,1167,0.73
1074,1167,0.6
1132,1167,0.58
1138,1167,0.81
1141,1167,0.96
100,1168,0.51
103,1168,0.83
105,1168,0.79
108,1168,0.51
117,1168,0.82
506,1168,0.57
507,1168,0.53
834,1168,0.51
840,1168,0.6
846,1168,0.57
847,1168,0.65
848,1168,0.63
927,1168,0.59
936,1168,0.51
1074,1168,0.59
1136,1168,0.81
1139,1168,0.83
1140,1168,0.83
1142,1168,0.83
1144,1168,0.81
1145,1168,0.77
1152,1168,0.81
100,1169,0.97
102,1169,0.8
103,1169,0.59
105,1169,0.72
106,1169,0.78
108,1169,0.75
814,1169,0.91
834,1169,0.77
857,1169,0.99
935,1169,0.71
936,1169,0.96
938,1169,0.79
942,1169,0.85
973,1169,0.66
975,1169,0.69
977,1169,0.58
1060,1169,0.78
1074,1169,0.8
1132,1169,0.94
1137,1169,0.82
1138,1169,0.82
1141,1169,0.81
1143,1169,0.8
1151,1169,0.76
1152,1169,0.74
103,1170,0.91
104,1170,0.9
487,1170,0.53
507,1170,0.53
802,1170,0.59
805,1170,0.7
808,1170,0.57
809,1170,0.7
810,1170,0.59
835,1170,0.79
840,1170,0.55
1074,1170,0.53
1134,1170,0.94
1136,1170,0.93
1140,1170,0.75
1168,1170,0.59
100,1171,0.52
835,1171,0.52
862,1171,0.68
901,1171,0.69
982,1171,0.71
100,1204,0.7
806,1204,0.55
810,1204,0.6
814,1204,0.56
818,1204,0.67
834,1204,0.61
927,1204,0.71
1060,1204,0.83
1074,1204,0.67
1132,1204,0.71
1136,1204,0.58
1137,1204,0.83
1138,1204,0.83
1141,1204,0.6
1153,1204,0.54
1154,1204,0.64
1155,1204,0.72
1156,1204,0.62
1157,1204,0.65
1158,1204,0.73
1159,1204,0.56
1160,1204,0.56
1161,1204,0.64
1162,1204,0.64
1163,1204,0.73
1164,1204,0.59
1165,1204,0.63
1166,1204,0.7
1167,1204,0.57
1168,1204,0.54
1169,1204,1
100,1215,0.67
814,1215,0.67
820,1215,0.67
834,1215,0.57
973,1215,0.69
1060,1215,0.88
1132,1215,0.51
1141,1215,0.62
1151,1215,0.88
1153,1215,0.59
1155,1215,0.54
1156,1215,0.58
1157,1215,0.54
1159,1215,0.58
1160,1215,0.58
1162,1215,0.54
1164,1215,0.58
1165,1215,0.52
1166,1215,0.54
1167,1215,0.58
104,1216,0.88
809,1216,0.63
835,1216,0.65
1134,1216,0.71
1170,1216,0.62
100,1217,0.67
102,1217,0.88
106,1217,0.63
108,1217,0.59
834,1217,0.58
935,1217,0.64
936,1217,0.67
938,1217,0.67
942,1217,0.67
973,1217,0.69
1060,1217,0.84
1132,1217,0.67
1138,1217,0.62
1141,1217,0.68
1151,1217,0.88
1153,1217,0.59
1155,1217,0.59
1156,1217,0.59
1159,1217,0.58
1160,1217,0.58
1164,1217,0.58
104,1218,0.85
107,1218,0.88
835,1218,0.65
860,1218,0.52
1134,1218,0.78
1136,1218,0.57
1170,1218,0.64
104,1219,0.59
107,1219,0.58
104,1220,0.6
107,1220,0.6
109,1220,0.54
939,1220,0.54
104,1221,0.59
107,1221,0.58
104,1222,0.78
107,1222,0.61
104,1225,0.56
870,1225,0.56
893,1225,0.53
104,1226,0.56
107,1226,0.57
860,1226,0.51
870,1226,0.55
104,1227,0.57
107,1227,0.57
860,1227,0.73
104,1228,0.87
107,1228,0.87
835,1228,0.64
1134,1228,0.78
1170,1228,0.62
104,1229,0.79
107,1229,0.61
109,1229,0.56
939,1229,0.55
104,1230,0.88
107,1230,0.84
835,1230,0.65
1134,1230,0.71
1170,1230,0.62
104,1231,0.8
107,1231,0.79
886,1232,0.67
894,1232,0.66
816,1233,0.61
104,1234,0.6
104,1235,0.6
107,1235,0.58
860,1235,0.7
104,1236,0.58
107,1236,0.57
860,1236,0.73
104,1237,0.6
107,1237,0.58
104,1238,0.61
107,1238,0.6
109,1238,0.53
939,1238,0.54
104,1239,0.58
107,1239,0.57
886,1239,0.62
894,1239,0.63
104,1240,0.84
107,1240,0.87
809,1240,0.64
860,1240,0.51
1134,1240,0.78
1170,1240,0.62
103,1241,0.7
487,1241,0.51
507,1241,0.51
805,1241,0.65
809,1241,0.64
835,1241,0.64
1134,1241,0.86
1136,1241,0.81
1140,1241,0.53
1170,1241,0.67
809,1242,0.62
835,1242,0.62
1134,1242,0.53
104,1243,0.57
886,1243,0.64
893,1243,0.52
894,1243,0.66
104,1244,0.6
107,1244,0.57
860,1244,0.71
104,1245,0.58
107,1245,0.57
860,1245,0.73
104,1246,0.58
107,1246,0.57
103,1247,0.87
105,1247,0.82
108,1247,0.65
116,1247,0.62
117,1247,0.88
506,1247,0.54
507,1247,0.51
1074,1247,0.62
1134,1247,0.54
1136,1247,0.83
104,1248,0.88
107,1248,0.84
835,1248,0.64
1134,1248,0.71
1170,1248,0.62
104,1249,0.88
107,1249,0.82
809,1249,0.64
1134,1249,0.63
103,1250,0.69
487,1250,0.51
507,1250,0.51
805,1250,0.64
809,1250,0.63
835,1250,0.65
1134,1250,0.84
1136,1250,0.81
1170,1250,0.65
805,1251,0.62
809,1251,0.68
835,1251,0.67
1134,1251,0.83
1136,1251,0.78
